distance x [m],distance y [m],distance z [m],x anlge [rad],y angle [rad],z angle [rad]
2.9661648496,-1.2482153788,12.7031745545,-3.0753958225,0.6203469634,-0.0426895358
2.8722569250,-1.2115562641,12.2990806210,-2.9474031925,-0.0660631135,-0.0640396997
2.9496819345,-1.2426809042,12.6459636434,3.1023433208,0.5418354869,-0.0484216996
2.9571639616,-1.2431403449,12.6510115501,3.1106271744,0.5430430770,-0.0467134714
2.9571639616,-1.2431403449,12.6510115501,3.1106271744,0.5430430770,-0.0467134714
2.7870392107,-1.1680920850,11.9490291921,-3.0924355984,0.6837873459,0.0468735211
2.8722569250,-1.2115562641,12.2990806210,-2.9474031925,-0.0660631135,-0.0640396997
2.7124708626,-1.1397709461,11.6295758348,-2.9991850853,0.7293422818,0.0943163186
2.9661648496,-1.2482153788,12.7031745545,-3.0753958225,0.6203469634,-0.0426895358
2.8868477207,-1.2164518125,12.3481125356,-3.0408198833,-0.1438879967,-0.0733672529
2.7870392107,-1.1680920850,11.9490291921,-3.0924355984,0.6837873459,0.0468735211
2.8736073767,-1.2061206214,12.3069425906,-2.9011893272,0.6673213243,0.1633039713
2.8722569250,-1.2115562641,12.2990806210,-2.9474031925,-0.0660631135,-0.0640396997
2.9571639616,-1.2431403449,12.6510115501,3.1106271744,0.5430430770,-0.0467134714
2.9571639616,-1.2431403449,12.6510115501,3.1106271744,0.5430430770,-0.0467134714
2.9661648496,-1.2482153788,12.7031745545,-3.0753958225,0.6203469634,-0.0426895358
2.9786901568,-1.2534911805,12.7567823606,-2.9986748695,0.5964798331,0.1118685380
2.8962717366,-1.2189429396,12.4037116743,2.9841151237,0.5013293624,-0.0484249964
2.8868477207,-1.2164518125,12.3481125356,-3.0408198833,-0.1438879967,-0.0733672529
2.8744061883,-1.2125516895,12.3077643894,-3.1076524258,-0.2242877930,-0.0817995816
2.8868477207,-1.2164518125,12.3481125356,-3.0408198833,-0.1438879967,-0.0733672529
2.8962717366,-1.2189429396,12.4037116743,2.9841151237,0.5013293624,-0.0484249964
2.9571639616,-1.2431403449,12.6510115501,3.1106271744,0.5430430770,-0.0467134714
2.9571639616,-1.2431403449,12.6510115501,3.1106271744,0.5430430770,-0.0467134714
2.8722569250,-1.2115562641,12.2990806210,-2.9474031925,-0.0660631135,-0.0640396997
2.9523355219,-1.2437077633,12.6575633328,-3.0075819492,0.7018308640,-0.0375625268
2.8868477207,-1.2164518125,12.3481125356,-3.0408198833,-0.1438879967,-0.0733672529
2.8744061883,-1.2125516895,12.3077643894,-3.1076524258,-0.2242877930,-0.0817995816
2.6983640370,-1.1337985554,11.5691519601,-2.8879837990,0.8415865898,0.1168052927
2.9661648496,-1.2482153788,12.7031745545,-3.0753958225,0.6203469634,-0.0426895358
2.8868477207,-1.2164518125,12.3481125356,-3.0408198833,-0.1438879967,-0.0733672529
3.0745059102,-1.2983770907,13.1793317801,-2.9883394241,0.1041888967,-0.0525633171
2.7124708626,-1.1397709461,11.6295758348,-2.9991850853,0.7293422818,0.0943163186
2.8868477207,-1.2164518125,12.3481125356,-3.0408198833,-0.1438879967,-0.0733672529
3.0745059102,-1.2983770907,13.1793317801,-2.9883394241,0.1041888967,-0.0525633171
2.8722569250,-1.2115562641,12.2990806210,-2.9474031925,-0.0660631135,-0.0640396997
2.8722569250,-1.2115562641,12.2990806210,-2.9474031925,-0.0660631135,-0.0640396997
2.7870392107,-1.1680920850,11.9490291921,-3.0924355984,0.6837873459,0.0468735211
